"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.715057242E2,6.518892213E1,2.535561734E1,2.230647245E0,1.529999971E0,3.031000061E2,3.790092468E0,2.500000000E0
1.725053827E2,6.518892967E1,2.535558680E1,2.305954283E0,1.519999981E0,2.997000122E2,3.790092468E0,2.500000000E0
1.735058330E2,6.518893690E1,2.535556060E1,2.521582252E0,1.509999990E0,3.010000000E2,3.790092468E0,2.500000000E0
1.745055442E2,6.518894424E1,2.535553153E1,2.863552307E0,1.580000043E0,2.962000122E2,3.790092468E0,2.500000000E0
1.755059705E2,6.518895037E1,2.535549905E1,3.082292204E0,1.629999995E0,2.900000000E2,3.790092468E0,2.500000000E0
1.765059272E2,6.518895283E1,2.535546452E1,4.252144240E0,1.620000005E0,2.756000061E2,3.790092468E0,2.500000000E0
1.775055790E2,6.518895105E1,2.535542890E1,4.475892101E0,1.669999957E0,2.616000061E2,3.790092468E0,2.500000000E0
1.785052144E2,6.518894637E1,2.535539715E1,4.291378040E0,1.659999967E0,2.498999939E2,3.790092468E0,2.500000000E0
1.795053143E2,6.518893612E1,2.535537668E1,4.161922842E0,1.610000014E0,2.393000031E2,3.790092468E0,2.500000000E0
1.805065610E2,6.518892857E1,2.535535178E1,5.268549361E0,1.629999995E0,2.406999969E2,3.790092468E0,2.500000000E0
1.815069636E2,6.518890523E1,2.535541534E1,5.076618976E0,3.559999943E0,1.306999969E2,3.790092468E0,2.500000000E0
