"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.478574833E1,-4.213578701E-1,-2.467988968E0,1.122862816E0
3.479079552E1,-6.129730344E-1,-2.466029167E0,1.153981209E0
3.479584276E1,-6.623989344E-1,-2.401852608E0,1.228559852E0
3.480088995E1,-7.420316935E-1,-2.246832848E0,1.293881536E0
3.480593563E1,-8.805189133E-1,-2.091935158E0,1.411988854E0
3.481098276E1,-9.154739380E-1,-1.937170982E0,1.606953621E0
3.481602990E1,-9.330389500E-1,-1.768195152E0,1.672997355E0
3.482107698E1,-9.046750665E-1,-1.632776260E0,1.767621160E0
3.482612287E1,-8.541164398E-1,-1.468652725E0,1.861638427E0
3.483116995E1,-7.715129852E-1,-1.280612946E0,1.978599906E0
3.483621698E1,-7.045874596E-1,-1.035148621E0,2.113154411E0
3.484126401E1,-6.965913177E-1,-7.896575928E-1,2.193215370E0
3.484631016E1,-5.896638036E-1,-5.727558136E-1,2.280492783E0
3.485135719E1,-3.553490937E-1,-3.078203201E-1,2.412823677E0
3.485640417E1,-1.271835566E-1,-7.144355774E-2,2.604415894E0
3.486145120E1,5.219495296E-2,1.746091843E-1,2.812449455E0
3.486649750E1,2.068364620E-1,4.541435242E-1,3.008929968E0
3.487154443E1,3.990996480E-1,7.144136429E-1,3.137154341E0
3.487659141E1,6.292567253E-1,1.031846046E0,3.236168146E0
3.488163839E1,8.214632869E-1,1.382286072E0,3.287686825E0
3.488668474E1,9.668796062E-1,1.789399147E0,3.230609179E0
3.489173167E1,9.707926512E-1,2.142919540E0,3.061085224E0
3.489677860E1,7.525228262E-1,2.399799347E0,2.659861088E0
3.490182557E1,4.939522147E-1,2.498064041E0,2.179732323E0
3.490687203E1,3.098661900E-1,2.438105583E0,1.748615265E0
3.491191896E1,3.301888704E-2,2.373394012E0,1.355178952E0
3.491696583E1,-2.220974565E-1,2.289913177E0,1.207879066E0
3.492201276E1,-2.933908105E-1,2.264548302E0,1.299702406E0
3.492705932E1,-1.669375300E-1,2.168375015E0,1.466216087E0
3.493210620E1,-1.012293100E-1,2.035252571E0,1.700947285E0
3.493715313E1,6.174373627E-2,1.870273590E0,2.146069050E0
3.494220000E1,2.550435066E-1,1.678449631E0,2.599949837E0
3.494724656E1,3.398229480E-1,1.421713829E0,3.354356289E0
3.495229344E1,5.069980025E-1,1.028384209E0,4.439027786E0
3.495734031E1,5.358698368E-1,5.892105103E-1,5.540699959E0
3.496238719E1,6.118864417E-1,2.091026306E-1,6.466296196E0
3.496743386E1,9.392520189E-1,-7.902336121E-2,7.075756073E0
3.497248073E1,1.273804545E0,-7.020092010E-2,7.271579742E0
3.497752755E1,1.382935643E0,2.202014923E-1,6.855481625E0
3.498257443E1,1.068093896E0,9.730405807E-1,5.872428894E0
3.498762110E1,5.507997870E-1,1.895948410E0,4.595170975E0
3.499266792E1,3.291473389E-1,2.888606071E0,3.897359133E0
3.499771479E1,1.587949991E-1,3.802463531E0,3.807626963E0
3.500276167E1,5.303812027E-2,4.412117958E0,3.725583792E0
3.500780839E1,-8.034551144E-2,4.841439247E0,3.295910358E0
3.501285521E1,-5.145243406E-1,4.822280884E0,2.497123241E0
3.501790208E1,-8.135561347E-1,4.512663841E0,1.679967642E0
3.502294891E1,-1.196538448E0,4.056121826E0,9.316294193E-1
3.502799563E1,-1.461542726E0,3.610742569E0,1.945850849E-1
3.503304245E1,-1.459591627E0,3.329883575E0,-5.462114811E-1
3.503808927E1,-1.883286953E0,3.233068466E0,-1.349691868E0
3.504313615E1,-2.655018568E0,3.191766739E0,-2.198899269E0
3.504818287E1,-3.804215670E0,2.977377892E0,-3.072839737E0
3.505322969E1,-5.203787804E0,2.677352905E0,-4.219329834E0
3.505827651E1,-6.258878708E0,2.436388969E0,-5.470503807E0
3.506332333E1,-6.891624451E0,2.188348770E0,-6.041884422E0
3.506837016E1,-7.047959805E0,2.072309494E0,-6.449228287E0
3.507341698E1,-6.778321743E0,2.016398430E0,-6.450706482E0
3.507846380E1,-6.165569305E0,2.135067940E0,-6.233704567E0
3.508351063E1,-5.392193794E0,2.312946320E0,-5.792974472E0
3.508855745E1,-4.645065308E0,2.492084503E0,-5.346826077E0
3.509360427E1,-3.818597078E0,2.772443771E0,-4.849758148E0
3.509865110E1,-3.141326189E0,3.182151794E0,-4.528621674E0
3.510369792E1,-2.434695244E0,3.663290977E0,-4.260960579E0
3.510874469E1,-1.860088110E0,4.182034492E0,-4.011044025E0
3.511379151E1,-1.502273798E0,4.637728691E0,-4.197963238E0
3.511883833E1,-1.116316319E0,4.996965408E0,-4.629125595E0
3.512388516E1,-6.966114044E-1,5.116593361E0,-5.089742661E0
3.512893193E1,-1.943663657E-1,4.992347717E0,-5.547336578E0
3.513397875E1,3.911081553E-1,4.663063049E0,-5.922225475E0
3.513902557E1,1.046516657E0,4.148363113E0,-6.249796391E0
3.514407240E1,1.710816860E0,3.515569687E0,-6.426362038E0
3.514911922E1,2.347103119E0,2.932290077E0,-6.568364620E0
3.515416604E1,2.956677914E0,2.355448723E0,-6.729866028E0
3.515921287E1,3.339837790E0,1.842412949E0,-6.625221729E0
3.516425969E1,3.602374554E0,1.354788780E0,-6.269744873E0
3.516930651E1,3.973768234E0,7.250232697E-1,-5.821022987E0
3.517435333E1,4.047677517E0,1.587677002E-1,-5.307169437E0
3.517940016E1,4.072863579E0,-3.633432388E-1,-4.650601387E0
3.518444698E1,4.058937073E0,-8.368110657E-1,-4.012395859E0
3.518949375E1,3.929516792E0,-1.266685486E0,-3.611030579E0
3.519454057E1,3.923186779E0,-1.629176140E0,-3.153646946E0
3.519958740E1,3.843931675E0,-1.943660736E0,-2.586663961E0
3.520463422E1,3.692185402E0,-2.162589073E0,-2.023710966E0
3.520968099E1,3.477265358E0,-2.286237717E0,-1.539934039E0
3.521472781E1,3.222517490E0,-2.372223854E0,-1.114853859E0
3.521977464E1,2.908620834E0,-2.540238380E0,-7.285073400E-1
3.522482141E1,2.516025782E0,-2.747137070E0,-5.288023949E-1
3.522973141E1,2.121356249E0,-2.944983482E0,-4.825668335E-1
3.523475063E1,1.728976250E0,-3.061964989E0,-3.986214399E-1
3.523978964E1,1.563727379E0,-3.141106606E0,-3.975617886E-1
3.524482865E1,1.352964044E0,-3.225429058E0,-3.986943960E-1
3.524989865E1,1.053902268E0,-3.271839619E0,-4.215991497E-1
3.525493922E1,7.094933987E-1,-3.375895977E0,-3.332951069E-1
3.525997979E1,1.999908686E-1,-3.393983364E0,-6.248348951E-2
3.526502037E1,-5.806057453E-1,-3.354821682E0,1.996217966E-1
3.527011037E1,-1.178568721E0,-3.363650799E0,2.671548128E-1
3.527520037E1,-1.417810678E0,-3.353330135E0,1.733670235E-1
3.528029037E1,-1.609670162E0,-3.371641636E0,7.094538212E-2
3.528538037E1,-1.725067258E0,-3.341996670E0,1.167845726E-2
3.529029037E1,-1.850129247E0,-3.230866909E0,9.468889236E-2
3.529531448E1,-1.965224028E0,-3.115064621E0,1.443370581E-1
3.530035578E1,-2.075212955E0,-2.999338150E0,1.985520124E-1
3.530539708E1,-2.118221760E0,-2.912362099E0,2.143982053E-1
3.531046021E1,-2.065212250E0,-2.825434685E0,2.156461477E-1
